word,translation
-ler,"Used to create nouns linking a person (or thing) to some group, activity, object"
-li,suffix used to create a diminutive form
-lich,"Used to form adjectives from verbs, to express that ""something can be done with the person or thing described""."
-ling,"Forms nouns from adjectives, indicating possession of or connection with a quality or property"
-lings,"forms adverbs that describe the manner of an action, particularly a movement"
-loge,-logist (male or of unspecified gender)
-logie,-logy
-los,-less
-lustig,Suffix indicating that someone is fond of something.
-lyse,-lysis
-mal,times
-manie,-mania
-meter,-meter (device to measure a certain property)
-metrie,-metry
-mächtig,"powerful, mighty"
-mässig,Switzerland and Liechtenstein standard spelling of -mäßig
-mäßig,-like (having some of the characteristics of)
-n-,Genitival interfix indicating that the former part is a characteristic of the latter.
-ner,"Forms person nouns from verbs and other nouns, especially job titles"
-nis,A suffix for deriving nouns from verbs or adjectives.. In some cases the suffix is feminine.
-niß,obsolete spelling of -nis
-ns-,used to link elements in some compounds
-o-,-o-
-oid,-oid (adjective or substantive)
-ologie,-ology
-om,-oma
-or,-or
-orisch,-ory
-orts,location suffix
-ose,-osis
-ow,"A place name suffix found in parts of former East Germany (or along the former border, as in Lüchow)."
-path,-path
-pathie,-pathy
-pathisch,-pathic
-penie,-penia
-pflichtig,"compulsory, obligatory"
-phil,-philic
-philie,-philia
-phob,-phobic
-phobie,-phobia
-phyt,-phyte (nominal suffix)
-pode,-pod (scientific suffix denoting an organism with a certain type of feet)
-prozentig,-percent
-rath,A placename suffix found chiefly in the northern Rhineland.
-reich,"-rich, -ful, used to form an adjective from a noun with the sense of 'rich in', 'full of'."
-reif,processed or having progressed to a stage suggesting or allowing a certain action
-rich,"suffix to derive masculine nouns, especially for male animals"
-rädrig,Creates adjectives that refer to the quantity or a quality of wheels. Corresponds to wheeled
-s,"used to form the genitive singular of most masculine nouns, neuter nouns, and proper nouns of all genders"
-s-,Genitival interfix used to link elements in some compounds.
-sam,"Used to form adjectives from verbs, nouns, and other adjectives"
-sch,"A suffix attached to names to produce eponymous adjectives: -ean, -ian, 's"
-schaft,"-ship, -hood"
-sche,"A suffix attached to family names and other words identifying families or groups of people, to produce a female form, especially denoting a wife or mother."
-se,Contraction of sie or Sie after a verb.
-seits,"on the side of, from the side of"
-sel,"Creates nouns from verbs, meaning something which is a fragment of the target of a verb, whether mechanically created or by intellectual activity"
-selig,-happy
-sen,Verbal suffix that expresses an action being intensified or stretched by iteration.
-seyts,obsolete spelling of -seits
-sicher,-proof
-skopie,-scopy
-st,Verb suffix for the second-person singular.
-ste,"-th, -nd etc"
-stein,Added to a stem to form a patronymic or matronymic surname.
-stämmig,-born
-t,Verb suffix for the third-person singular of the present tense.
-t-,"Used to separate two adjacent sonorants, mostly when -en is followed by -lich."
